GEOID,county,state,state_abbr,ALAND,year,scenario,scenario_label,data_type,observed_temp_2025_f,observed_temp_2025_c,projected_temp_c,temp_change_from_2025_c,rank_within_scenario
06043,Mariposa,California,CA,3752476985,2036,ssp245,Medium emissions (SSP245),projected,57.166666666666664,13.98148148148148,8.779040336608887,-5.2024411448725925,3112
06043,Mariposa,California,CA,3752476985,2036,ssp585,High emissions (SSP585),projected,57.166666666666664,13.98148148148148,7.128298282623291,-6.853183198858188,3114
06045,Mendocino,California,CA,9082587618,2036,ssp126,Low emissions (SSP126),projected,56.79999999999999,13.777777777777771,12.80463695526123,-0.973140822516541,924
06045,Mendocino,California,CA,9082587618,2036,ssp245,Medium emissions (SSP245),projected,56.79999999999999,13.777777777777771,12.962061882019043,-0.8157158957587285,1476
06045,Mendocino,California,CA,9082587618,2036,ssp585,High emissions (SSP585),projected,56.79999999999999,13.777777777777771,12.070940971374512,-1.7068368064032597,2135
06047,Merced,California,CA,5019407136,2036,ssp126,Low emissions (SSP126),projected,63.14166666666666,17.30092592592592,14.560236930847168,-2.7406889950787523,2775
06047,Merced,California,CA,5019407136,2036,ssp245,Medium emissions (SSP245),projected,63.14166666666666,17.30092592592592,14.985026359558105,-2.315899566367815,2737
06047,Merced,California,CA,5019407136,2036,ssp585,High emissions (SSP585),projected,63.14166666666666,17.30092592592592,13.336631774902344,-3.9642941510235765,3034
06049,Modoc,California,CA,10225876984,2036,ssp126,Low emissions (SSP126),projected,49.57500000000001,9.763888888888895,7.15814733505249,-2.6057415538364044,2683
06049,Modoc,California,CA,10225876984,2036,ssp245,Medium emissions (SSP245),projected,49.57500000000001,9.763888888888895,7.412534236907959,-2.3513546519809356,2757
06049,Modoc,California,CA,10225876984,2036,ssp585,High emissions (SSP585),projected,49.57500000000001,9.763888888888895,5.64239501953125,-4.121493869357645,3047
06051,Mono,California,CA,7896625264,2036,ssp126,Low emissions (SSP126),projected,46.35833333333333,7.976851851851848,7.074333190917969,-0.9025186609338789,862
06051,Mono,California,CA,7896625264,2036,ssp245,Medium emissions (SSP245),projected,46.35833333333333,7.976851851851848,7.133425235748291,-0.8434266161035566,1494
06051,Mono,California,CA,7896625264,2036,ssp585,High emissions (SSP585),projected,46.35833333333333,7.976851851851848,5.4077606201171875,-2.56909123173466,2760
06053,Monterey,California,CA,8499610241,2036,ssp126,Low emissions (SSP126),projected,59.683333333333344,15.379629629629635,14.998791694641113,-0.3808379349885218,444
06053,Monterey,California,CA,8499610241,2036,ssp245,Medium emissions (SSP245),projected,59.683333333333344,15.379629629629635,15.025466918945312,-0.3541627106843226,1079
06053,Monterey,California,CA,8499610241,2036,ssp585,High emissions (SSP585),projected,59.683333333333344,15.379629629629635,14.32367992401123,-1.0559497056184046,1456
06055,Napa,California,CA,1947606941,2036,ssp126,Low emissions (SSP126),projected,60.224999999999994,15.680555555555552,16.07373046875,0.3931749131944482,203
06055,Napa,California,CA,1947606941,2036,ssp245,Medium emissions (SSP245),projected,60.224999999999994,15.680555555555552,16.19757843017578,0.5170228746202294,529
06055,Napa,California,CA,1947606941,2036,ssp585,High emissions (SSP585),projected,60.224999999999994,15.680555555555552,15.207232475280762,-0.4733230802747901,928
06057,Nevada,California,CA,2480587300,2036,ssp126,Low emissions (SSP126),projected,54.041666666666664,12.245370370370368,8.926002502441406,-3.319367867928962,2996
06057,Nevada,California,CA,2480587300,2036,ssp245,Medium emissions (SSP245),projected,54.041666666666664,12.245370370370368,9.152531623840332,-3.0928387465300364,3004
06057,Nevada,California,CA,2480587300,2036,ssp585,High emissions (SSP585),projected,54.041666666666664,12.245370370370368,7.72559118270874,-4.519779187661628,3066
06059,Orange,California,CA,2053515921,2036,ssp126,Low emissions (SSP126),projected,65.03333333333333,18.35185185185185,17.862951278686523,-0.48890057316532776,514
06059,Orange,California,CA,2053515921,2036,ssp245,Medium emissions (SSP245),projected,65.03333333333333,18.35185185185185,18.608922958374023,0.25707110652217224,684
06059,Orange,California,CA,2053515921,2036,ssp585,High emissions (SSP585),projected,65.03333333333333,18.35185185185185,17.24871826171875,-1.1031335901331012,1506
06061,Placer,California,CA,3644303250,2036,ssp126,Low emissions (SSP126),projected,55.224999999999994,12.902777777777775,8.926002502441406,-3.9767752753363688,3074
06061,Placer,California,CA,3644303250,2036,ssp245,Medium emissions (SSP245),projected,55.224999999999994,12.902777777777775,9.152531623840332,-3.750246153937443,3077
06061,Placer,California,CA,3644303250,2036,ssp585,High emissions (SSP585),projected,55.224999999999994,12.902777777777775,7.72559118270874,-5.177186595069035,3088
06063,Plumas,California,CA,6612400771,2036,ssp126,Low emissions (SSP126),projected,49.96666666666667,9.981481481481483,7.625093936920166,-2.3563875445613167,2454
06063,Plumas,California,CA,6612400771,2036,ssp245,Medium emissions (SSP245),projected,49.96666666666667,9.981481481481483,7.9759955406188965,-2.0054859408625862,2494
06063,Plumas,California,CA,6612400771,2036,ssp585,High emissions (SSP585),projected,49.96666666666667,9.981481481481483,6.288838863372803,-3.69264261810868,3007
06065,Riverside,California,CA,18671882474,2036,ssp126,Low emissions (SSP126),projected,70.2,21.22222222222222,20.304227828979492,-0.9179943932427292,875
06065,Riverside,California,CA,18671882474,2036,ssp245,Medium emissions (SSP245),projected,70.2,21.22222222222222,20.984649658203125,-0.23757256401909643,987
06065,Riverside,California,CA,18671882474,2036,ssp585,High emissions (SSP585),projected,70.2,21.22222222222222,18.571680068969727,-2.650542153252495,2797
06067,Sacramento,California,CA,2500063005,2036,ssp126,Low emissions (SSP126),projected,63.20833333333334,17.33796296296297,16.07373046875,-1.264232494212969,1199
06067,Sacramento,California,CA,2500063005,2036,ssp245,Medium emissions (SSP245),projected,63.20833333333334,17.33796296296297,16.19757843017578,-1.1403845327871878,1734
06067,Sacramento,California,CA,2500063005,2036,ssp585,High emissions (SSP585),projected,63.20833333333334,17.33796296296297,15.207232475280762,-2.1307304876822073,2511
06069,San Benito,California,CA,3596591087,2036,ssp126,Low emissions (SSP126),projected,60.09166666666667,15.606481481481483,16.186574935913086,0.5800934544316032,168
06069,San Benito,California,CA,3596591087,2036,ssp245,Medium emissions (SSP245),projected,60.09166666666667,15.606481481481483,16.556203842163086,0.9497223606816032,337
06069,San Benito,California,CA,3596591087,2036,ssp585,High emissions (SSP585),projected,60.09166666666667,15.606481481481483,15.036911010742188,-0.5695704707392952,999
06071,San Bernardino,California,CA,51976311347,2036,ssp126,Low emissions (SSP126),projected,68.47500000000001,20.263888888888896,18.6185302734375,-1.6453586154513964,1620
06071,San Bernardino,California,CA,51976311347,2036,ssp245,Medium emissions (SSP245),projected,68.47500000000001,20.263888888888896,19.1002197265625,-1.1636691623263964,1757
06071,San Bernardino,California,CA,51976311347,2036,ssp585,High emissions (SSP585),projected,68.47500000000001,20.263888888888896,16.933311462402344,-3.3305774264865526,2955
06073,San Diego,California,CA,10905046431,2036,ssp126,Low emissions (SSP126),projected,64.15833333333333,17.86574074074074,16.323875427246094,-1.5418653134946467,1500
06073,San Diego,California,CA,10905046431,2036,ssp245,Medium emissions (SSP245),projected,64.15833333333333,17.86574074074074,17.193601608276367,-0.6721391324643733,1334
06073,San Diego,California,CA,10905046431,2036,ssp585,High emissions (SSP585),projected,64.15833333333333,17.86574074074074,14.893165588378906,-2.9725751523618342,2899
06075,San Francisco,California,CA,120913549,2036,ssp126,Low emissions (SSP126),projected,57.425000000000004,14.125000000000004,15.344390869140625,1.2193908691406214,71
06075,San Francisco,California,CA,120913549,2036,ssp245,Medium emissions (SSP245),projected,57.425000000000004,14.125000000000004,15.265113830566406,1.1401138305664027,267
06075,San Francisco,California,CA,120913549,2036,ssp585,High emissions (SSP585),projected,57.425000000000004,14.125000000000004,14.482258796691895,0.357258796691891,311
